applicant_id,age,monthly_income,annual_income,employment_type,years_employed,existing_loans,credit_score,emi_to_income_ratio,geo_mismatch,video_stress_score,default_label
f452ad8c,56,64537,774448,salaried,4,0,848,0.3398,0,0.3327,0
ee1a9695,30,25623,307479,salaried,3,0,587,0.5155,0,0.5002,1
4ff7b010,29,38314,459773,salaried,3,0,700,0.3633,0,0.2378,0
783e09e8,26,40663,487956,salaried,1,1,629,0.4569,0,0.5861,0
e6d18380,41,16233,194807,self_employed,4,4,832,0.1751,0,0.4733,0
7c2f7b08,46,37566,450799,student,0,1,767,0.5736,0,0.0959,1
b0a97c7f,33,37254,447051,salaried,5,0,661,0.4063,0,0.2683,0
22aedbd6,26,48946,587363,salaried,1,1,636,0.5433,0,0.1401,1
503ca83f,26,27062,324748,salaried,0,1,776,0.2121,0,0.2181,0
80d48026,41,61439,737268,self_employed,1,0,804,0.3559,0,0.2602,0
751a1b3b,42,36288,435461,salaried,7,2,708,0.465,0,0.2359,0
b9332531,40,75544,906533,business,1,2,698,0.4671,1,0.5936,0
0b5abe70,28,48975,587707,salaried,0,2,548,0.143,0,0.0952,1
6e9bdf8e,37,39658,475905,salaried,5,0,712,0.2093,0,0.3697,0
9edc78f8,36,20563,246756,self_employed,5,2,554,0.13,0,0.2662,0
99a68968,37,19323,231887,self_employed,4,3,467,0.2743,0,0.3494,1
f967fcb0,43,71933,863198,self_employed,9,1,627,0.2271,0,0.2435,0
5d094472,37,51952,623427,salaried,1,0,683,0.4336,0,0.4431,0
b4183f57,41,30786,369432,business,4,0,775,0.5649,0,0.3166,1
1e1253ee,35,29014,348170,salaried,2,0,515,0.1916,0,0.2113,1
347a1d4a,37,38675,464101,student,1,0,732,0.5272,0,0.2516,1
1464f237,41,19106,229274,salaried,8,1,713,0.3577,0,0.2974,1
f7d65521,21,28357,340290,salaried,0,2,597,0.5421,0,0.2029,1
c50b6b86,31,46108,553298,self_employed,2,1,657,0.3264,0,0.7544,0
4833ac87,30,48968,587627,salaried,1,2,623,0.5826,0,0.1994,1
49cb94df,28,29657,355887,salaried,1,0,582,0.5979,0,0.2277,1
593e1d0f,32,71913,862958,salaried,2,0,609,0.2459,0,0.3234,0
31fc6b24,49,56013,672161,self_employed,8,0,696,0.5619,0,0.3327,1
7aecf3c8,26,24764,297171,business,1,0,866,0.4585,0,0.3539,0
a1ed2042,44,19712,236545,salaried,9,2,740,0.4712,0,0.0694,0
a6226f27,21,45736,548841,salaried,0,0,694,0.1905,0,0.2339,0
11a4d5b4,31,28583,342997,salaried,0,1,725,0.4956,0,0.2852,0
6924f987,36,26241,314894,salaried,0,2,774,0.5352,0,0.3624,1
fff12a0b,40,38692,464311,salaried,1,3,611,0.3278,0,0.6948,0
4e93414e,42,48379,580550,salaried,9,0,619,0.396,0,0.3035,0
846f7f13,42,49984,599814,self_employed,7,0,709,0.3032,0,0.1967,0
bb2d3554,31,35880,430560,salaried,1,1,745,0.3208,0,0.0379,0
859500d8,30,12467,149604,salaried,1,2,606,0.5742,0,0.0965,1
bd16f720,43,53776,645318,self_employed,5,0,709,0.3148,0,0.2477,0
06320911,33,24351,292223,salaried,1,0,729,0.2067,1,0.7556,1
65c77faa,22,40210,482521,salaried,0,1,713,0.4009,0,0.1967,0
daefef84,23,33127,397535,salaried,1,1,731,0.5769,0,0.1525,1
3bf2dce3,25,96079,1152950,salaried,0,2,605,0.5048,0,0.4782,1
56c434fb,39,88358,1060300,salaried,6,2,590,0.1212,0,0.1715,0
081f6151,36,28462,341549,self_employed,6,1,730,0.1789,0,0.5229,0
b0dd39f8,41,19110,229331,self_employed,5,1,590,0.2354,0,0.3825,0
3aff02f8,30,19795,237546,salaried,0,1,703,0.5326,0,0.5287,1
04ce314d,36,39549,474593,salaried,5,4,632,0.3758,0,0.4147,0
097e61b5,41,27452,329431,self_employed,8,1,619,0.295,0,0.7344,1
b641db1e,31,21228,254741,salaried,1,2,704,0.2207,0,0.4954,0
33390a35,39,27651,331823,salaried,1,1,626,0.4149,1,0.5871,0
675537aa,28,42879,514548,business,0,1,674,0.1143,0,0.2978,0
7315f26c,31,33788,405465,salaried,4,0,814,0.5466,0,0.3375,0
9bcebb23,31,28170,338045,business,0,2,790,0.3478,0,0.0969,0
99699e5f,23,29807,357686,salaried,0,2,634,0.3618,0,0.3536,0
7bc5f4e5,39,32540,390483,self_employed,3,1,742,0.441,0,0.5465,0
388a2b76,30,38688,464256,salaried,1,2,635,0.259,0,0.3082,0
9e077775,35,39722,476673,business,6,0,607,0.4759,0,0.1083,0
e83c2a1d,39,16669,200031,self_employed,5,1,644,0.5347,0,0.5022,1
0e137ead,39,37726,452717,salaried,3,1,775,0.3289,0,0.4265,0
c327bcfd,41,29737,356855,salaried,5,1,716,0.5543,0,0.1407,1
1d4433ce,34,22178,266146,business,1,1,735,0.1176,0,0.5849,0
5eaf8ffe,30,29595,355147,self_employed,3,3,735,0.2641,0,0.5578,0
dd17b4ac,34,58886,706636,business,4,1,541,0.1987,1,0.1937,1
43c2cccf,21,50361,604338,salaried,0,2,668,0.5274,1,0.2802,1
185b4d3e,21,36564,438779,self_employed,0,2,768,0.4207,0,0.4877,0
5c979a05,21,23374,280496,salaried,0,1,752,0.5156,0,0.498,1
2e19235a,25,18982,227789,business,0,1,720,0.4734,0,0.3121,0
7d9a6a71,38,22909,274908,salaried,5,0,691,0.1594,0,0.1302,0
5e3be066,25,35192,422313,salaried,0,6,659,0.5477,0,0.2719,1
6ae72c09,31,35528,426337,salaried,1,0,782,0.2685,0,0.2718,0
6388af1f,47,26107,313294,salaried,3,1,726,0.481,0,0.223,0
614e0b4f,31,51953,623447,salaried,1,2,623,0.2319,0,0.4244,0
5e969e83,42,41611,499334,self_employed,8,0,845,0.2736,0,0.3121,0
0e14145e,25,10615,127380,self_employed,0,0,563,0.4845,0,0.0633,0
4d903ee2,32,36762,441148,self_employed,4,0,613,0.5082,0,0.5415,1
9af904c7,25,49171,590056,business,1,1,691,0.2442,0,0.0993,0
de0dd260,31,38338,460056,self_employed,3,1,582,0.5448,0,0.1394,1
b6cb89b1,43,45468,545625,salaried,0,2,645,0.1473,0,0.2571,0
f72624a5,21,31086,373042,self_employed,0,0,619,0.2539,0,0.44,0
f7b9a85f,39,33987,407846,salaried,6,2,814,0.2711,1,0.5375,0
31f5648f,37,34308,411700,salaried,4,2,697,0.2188,1,0.37,0
1d6a513c,29,38022,456272,salaried,0,2,613,0.3904,0,0.0729,0
c4cb5e55,21,26970,323648,business,0,0,706,0.4729,0,0.2526,0
fd063425,35,57223,686683,salaried,1,0,541,0.512,0,0.4713,1
0ee3aa4d,29,66393,796722,salaried,2,1,782,0.2699,0,0.3816,0
ad143f05,37,27560,330727,salaried,1,1,580,0.2423,0,0.1803,0
135b43c9,35,20685,248225,self_employed,2,2,752,0.4657,1,0.4569,0
66368be2,51,19105,229267,salaried,7,0,673,0.1618,0,0.4858,0
02109ea3,32,41996,503956,self_employed,1,1,696,0.1328,0,0.1294,0
6883dbae,24,45598,547181,salaried,1,1,715,0.4757,0,0.2034,0
6fe05f2e,36,42075,504910,salaried,0,2,637,0.3036,1,0.5209,0
fb83ae39,37,43735,524830,self_employed,1,2,641,0.1856,0,0.2508,0
96cde499,48,27101,325215,salaried,3,1,676,0.4688,0,0.3181,0
f940c0b6,43,14293,171517,salaried,5,1,690,0.5585,0,0.2809,1
aa4fd1f2,38,27982,335786,student,5,0,614,0.5603,0,0.3386,1
8a384d07,49,73669,884032,salaried,8,2,582,0.5943,0,0.1919,1
f4aa1067,23,39429,473150,self_employed,0,1,799,0.3525,0,0.195,0
4c346394,28,42367,508414,salaried,1,4,692,0.4748,0,0.1801,0
6f5099cc,25,52587,631052,salaried,0,1,675,0.2354,0,0.3922,0
8d7a1ec5,31,23982,287785,self_employed,3,2,782,0.1745,0,0.1774,0
e7075445,21,38702,464434,business,0,0,553,0.4168,0,0.3571,0
bf4eac87,41,44072,528872,salaried,0,1,707,0.4812,0,0.0858,0
b6b58261,32,23005,276060,salaried,0,2,814,0.4733,0,0.1344,1
9f1fb945,21,41226,494719,business,0,0,812,0.4035,0,0.1072,0
85c1142a,24,62693,752325,business,0,2,770,0.3979,0,0.2906,0
a57225ec,38,29225,350702,self_employed,4,0,738,0.2533,0,0.2967,0
faf0d167,43,16123,193483,salaried,8,0,617,0.4937,0,0.4694,0
0e72d0b9,54,37826,453920,student,5,1,696,0.5928,0,0.5782,1
05c892f4,64,26046,312563,salaried,1,2,809,0.372,0,0.2733,0
787c2b5a,39,37971,455658,business,1,1,711,0.1448,0,0.1997,0
4be33a22,25,23959,287518,salaried,0,2,788,0.3448,0,0.3775,0
e114d06d,21,35973,431683,business,0,5,699,0.2046,0,0.4061,0
448e76d6,37,60800,729607,self_employed,7,1,544,0.391,0,0.3605,1
875e9d86,26,34564,414778,salaried,2,1,646,0.3617,0,0.011,0
87276c55,30,16663,199963,salaried,2,1,645,0.4541,0,0.2135,0
7cd2cbc4,28,41447,497368,salaried,2,2,772,0.1134,0,0.3334,0
93e9abeb,33,35314,423779,business,3,1,697,0.3664,0,0.3108,0
0a2ad060,45,38524,462296,self_employed,5,1,845,0.112,0,0.3608,0
1d969615,36,54232,650793,salaried,1,1,886,0.1157,0,0.0704,0
4f7507a0,33,27634,331614,self_employed,4,1,575,0.2249,0,0.0288,0
9dc23650,24,30745,368940,business,1,6,587,0.3696,0,0.0663,0
38c20579,21,22023,264281,salaried,0,1,761,0.3585,0,0.2451,0
8ec4cdca,30,38181,458181,salaried,3,1,674,0.4297,0,0.2197,0
20d843f8,34,37733,452807,business,1,1,774,0.3689,0,0.2931,0
adf99eef,52,31139,373671,salaried,12,1,811,0.5813,0,0.214,1
297b0895,36,48986,587832,self_employed,5,2,808,0.5059,0,0.2059,1
d88db386,44,21951,263418,business,4,0,823,0.3636,1,0.4579,0
0e085762,30,37057,444692,salaried,2,4,612,0.1052,0,0.3629,0
fbedd8b3,23,45871,550460,self_employed,1,2,506,0.385,0,0.2634,1
3a1742bc,25,27424,329089,business,0,1,600,0.4077,0,0.2926,0
90407339,27,18864,226368,self_employed,0,2,533,0.2693,0,0.2389,1
fe121cf1,56,16320,195848,self_employed,4,0,659,0.1638,0,0.1298,0
0ccf8620,26,37533,450404,salaried,0,2,655,0.435,0,0.4373,0
f5eaf97c,43,75012,900154,salaried,7,0,508,0.3403,0,0.2834,1
b6445868,25,26601,319219,salaried,0,1,769,0.2143,0,0.1025,0
b7b52b25,44,42881,514579,salaried,1,1,868,0.4484,0,0.3651,0
8d4c529d,38,11751,141013,salaried,1,1,569,0.597,0,0.2934,0
7b311bb5,33,41401,496820,salaried,1,0,608,0.5653,0,0.1509,1
eabe9306,34,21446,257359,business,0,2,590,0.4387,0,0.2222,0
53c34b77,28,29322,351869,self_employed,2,1,747,0.3194,0,0.246,0
aa792b9c,39,36264,435173,business,6,1,833,0.495,1,0.1851,0
2b7d7907,30,16576,198919,salaried,1,2,643,0.5003,0,0.5082,1
7c276044,22,144154,1729855,self_employed,0,0,767,0.2135,0,0.3774,0
67e7f73d,22,26654,319853,self_employed,0,0,641,0.5692,0,0.1726,1
4905718a,36,45993,551922,business,2,2,675,0.1515,0,0.1941,0
ce5d0c25,50,68514,822176,salaried,5,1,629,0.3841,0,0.299,0
6e5444df,36,39936,479235,salaried,0,3,726,0.2242,1,0.3642,0
c98da8a1,33,20143,241720,self_employed,1,1,738,0.4708,0,0.4387,0
705d376c,37,36655,439866,self_employed,4,2,594,0.5439,0,0.2243,1
62be3480,48,15308,183702,salaried,2,2,722,0.1744,0,0.166,0
caead594,37,30156,361878,self_employed,0,0,638,0.3253,0,0.0768,0
f059f675,30,74436,893241,salaried,1,0,734,0.3216,1,0.3455,0
bbc3c386,46,18547,222564,business,8,0,644,0.2839,0,0.0597,0
7984c92c,39,24154,289854,self_employed,3,1,845,0.4762,0,0.4998,0
18826595,50,80597,967173,self_employed,1,1,704,0.3249,0,0.2221,0
9ba73bc2,36,32360,388327,self_employed,2,1,678,0.5616,0,0.2348,1
637b4c92,22,23410,280925,business,0,2,672,0.2928,0,0.5594,0
34a55109,21,41699,500394,salaried,0,1,500,0.1063,0,0.0766,1
b020e83b,51,28343,340118,self_employed,0,1,622,0.2586,0,0.2148,0
f579e305,52,10310,123725,salaried,8,1,684,0.1906,0,0.0896,0
4432e4e7,33,18975,227704,student,1,0,765,0.5423,0,0.1113,1
928e02c4,31,88322,1059869,salaried,3,0,612,0.1991,0,0.2639,0
639ae4fb,49,40569,486832,salaried,10,1,742,0.2936,1,0.3457,0
b11d7144,23,67627,811524,salaried,0,0,749,0.3177,0,0.1185,0
f3c0c005,26,22025,264308,salaried,1,0,630,0.2744,0,0.3084,0
697e6a65,41,34143,409726,student,7,0,804,0.1076,0,0.2318,0
f6107732,31,32438,389261,self_employed,2,2,672,0.2628,0,0.1531,0
3d009eb1,34,27359,328314,business,4,5,701,0.1573,0,0.3457,0
dbbf2d71,33,38472,461674,salaried,2,1,657,0.1976,0,0.068,0
185b26e1,38,21193,254324,salaried,3,0,762,0.1067,0,0.1967,0
31df4700,49,60317,723805,self_employed,10,0,723,0.173,0,0.2044,0
b86460ec,35,43190,518282,self_employed,5,1,552,0.195,0,0.3571,0
1008b506,41,32362,388350,student,1,0,603,0.5272,0,0.1729,1
dd5f192e,21,37163,445960,salaried,0,2,755,0.2011,1,0.3839,0
ca2c4c58,34,30547,366572,self_employed,3,2,592,0.1087,0,0.1597,0
c4b2fa1d,26,16115,193381,self_employed,0,4,737,0.5859,1,0.3999,1
2ef93673,22,22410,268929,self_employed,0,2,594,0.1077,1,0.544,0
f034050d,26,32275,387308,student,0,0,579,0.3732,0,0.1707,0
0aa6b7bd,31,29861,358343,business,0,3,577,0.2952,0,0.2448,0
3747d2df,44,46841,562093,self_employed,7,2,637,0.4483,0,0.266,0
5bb8bc48,21,45038,540458,salaried,0,0,732,0.117,0,0.2581,0
b4a991cb,35,27205,326465,salaried,2,0,587,0.4111,0,0.4714,0
7505810e,30,22753,273038,self_employed,0,1,661,0.405,1,0.4483,0
e3b0e02c,31,49157,589884,salaried,3,1,763,0.3478,0,0.3311,0
5d9332b6,45,38112,457344,self_employed,5,3,562,0.2352,0,0.1383,0
52559682,40,26459,317519,business,6,2,608,0.5416,0,0.3696,1
43b19820,48,20935,251229,self_employed,3,1,571,0.1697,0,0.1718,0
93f24661,33,25821,309862,self_employed,4,3,768,0.2317,0,0.3553,0
6615d80c,28,41751,501013,self_employed,0,0,624,0.21,0,0.2162,0
6ae7aa50,32,74769,897234,self_employed,1,2,708,0.5226,0,0.3723,1
0dd5c2cd,37,31816,381799,salaried,7,0,587,0.2505,0,0.3553,0
11bd3545,36,24058,288705,business,1,0,656,0.509,0,0.1588,1
633405d7,24,92396,1108760,salaried,0,0,625,0.1085,0,0.2744,0
2e706a34,35,29606,355279,self_employed,6,0,699,0.2243,0,0.3995,0
a8f4d928,37,24483,293801,salaried,6,0,718,0.4658,0,0.297,0
71e19daa,60,29138,349661,self_employed,9,2,577,0.4746,0,0.3561,0
c5e141bd,53,28492,341912,self_employed,7,1,805,0.2086,0,0.2106,0
dd8ac7c7,26,61997,743971,salaried,0,0,670,0.367,0,0.3031,0
dcb6de85,32,16480,197764,salaried,3,5,824,0.2522,0,0.0812,0
bf5d0134,21,45735,548828,salaried,0,0,588,0.2171,0,0.3955,0
f0bbc2ea,29,34827,417934,salaried,0,1,716,0.1597,0,0.0139,0
cb1ec72d,38,27244,326928,salaried,5,0,739,0.4183,0,0.4021,0
ddb6bb8f,47,30089,361077,salaried,2,2,559,0.2596,0,0.0112,0
47825a10,27,31266,375195,salaried,2,4,818,0.1511,0,0.1466,1
9a4802da,28,36415,436981,salaried,3,0,562,0.3252,0,0.4129,0
bd6fb2a4,21,28566,342803,salaried,0,0,630,0.2995,0,0.2721,0
9df80100,33,33983,407799,business,2,2,513,0.5906,1,0.6791,1
d4d80b0c,24,24668,296026,business,0,1,797,0.1995,0,0.244,0
c46823d3,29,93430,1121161,business,1,0,757,0.3264,0,0.4423,0
be489542,26,55120,661444,salaried,2,2,729,0.5723,0,0.4888,1
6ca7fac0,34,43606,523275,salaried,4,2,756,0.3156,0,0.4309,0
99a547de,21,28663,343963,salaried,0,1,665,0.591,0,0.4404,1
655dd42b,21,50653,607841,salaried,0,2,642,0.2041,0,0.3101,1
ed992a02,56,40045,480551,self_employed,14,3,716,0.3093,0,0.2698,0
7c0a76d7,22,36926,443114,self_employed,0,0,720,0.4145,0,0.1891,0
2ffed062,24,27535,330429,salaried,1,1,817,0.2886,0,0.0461,0
df7815ea,53,39603,475238,self_employed,7,1,685,0.4962,0,0.0553,0
a9eeadab,64,74660,895925,salaried,18,1,718,0.5772,0,0.3829,1
382c9c7f,23,36293,435527,self_employed,0,1,679,0.2051,0,0.278,0
f4cd7c6f,31,31083,373007,salaried,4,1,553,0.5406,0,0.2027,1
b7074aef,38,36598,439180,salaried,3,1,673,0.3068,1,0.3114,1
aadc3ddb,52,35696,428358,business,10,2,626,0.5605,0,0.1209,1
4947bdd2,25,27361,328338,self_employed,1,3,726,0.5845,0,0.0439,0
fefd5191,32,25073,300879,salaried,1,2,733,0.4886,0,0.2412,0
69f18549,42,50014,600175,salaried,8,0,699,0.3048,0,0.146,0
34fec2eb,39,60204,722457,salaried,0,1,560,0.4898,1,0.1711,0
4cf62e33,31,97025,1164304,salaried,3,2,599,0.3119,0,0.2949,0
5100cd8e,33,43015,516188,salaried,5,0,623,0.5467,0,0.5796,1
5351b391,21,36887,442647,salaried,0,3,692,0.5203,0,0.2905,1
b0c69f46,32,52517,630212,business,0,1,636,0.5183,0,0.0962,1
d74b8096,32,23260,279122,business,4,1,650,0.288,0,0.3691,0
0e3c1275,37,46735,560828,salaried,1,0,777,0.5069,1,0.1485,0
956b75eb,29,55856,670283,salaried,2,1,743,0.5304,0,0.2021,1
607e7a55,39,55492,665910,self_employed,3,0,458,0.1149,0,0.2991,1
13c9de15,45,74115,889385,salaried,7,0,778,0.422,0,0.0532,0
db3effc5,36,26737,320848,business,3,0,588,0.177,0,0.1589,0
98a4b01f,38,28044,336534,salaried,4,2,660,0.2789,0,0.3183,0
a58ef55c,35,31770,381242,salaried,1,0,683,0.5057,0,0.4033,1
2e09d18a,35,21186,254233,salaried,2,2,667,0.2769,0,0.3331,0
7682ff57,27,44595,535143,salaried,2,1,708,0.3348,0,0.36,0
852e3bdd,38,47425,569109,self_employed,0,1,749,0.4821,0,0.8291,0
0ae74955,34,45062,540748,student,3,0,501,0.3042,0,0.0618,1
032d8b43,55,37433,449204,salaried,4,1,784,0.2825,0,0.0669,0
bbfc4135,50,55034,660415,salaried,9,1,637,0.5373,0,0.0961,1
69679ad7,38,45339,544073,salaried,5,2,629,0.3349,0,0.2989,0
16a42085,27,26688,320256,self_employed,0,0,726,0.5269,1,0.2205,1
356728cd,23,9280,111361,salaried,1,1,575,0.1151,0,0.3641,0
98204105,46,30158,361903,salaried,0,1,650,0.2914,0,0.4138,1
755fb444,37,35620,427446,business,7,0,793,0.4724,0,0.13,0
41a94640,39,35753,429046,self_employed,8,1,655,0.3769,0,0.1035,0
e9b9fd13,21,32288,387457,business,0,0,726,0.313,0,0.4395,0
8f73b5ce,44,27488,329865,self_employed,10,2,728,0.3664,0,0.0994,0
ea50fa2e,39,23909,286917,salaried,0,4,736,0.2447,0,0.1787,0
a3c03175,23,21988,263860,salaried,0,0,900,0.4476,0,0.2452,0
dc947c8f,30,42566,510803,self_employed,3,2,608,0.5978,1,0.3121,1
47c8c363,37,57115,685387,salaried,1,2,716,0.2751,0,0.3774,0
a4dacaeb,35,19931,239175,salaried,3,0,639,0.2723,0,0.242,0
64b98d01,32,34047,408574,business,4,1,789,0.5584,0,0.146,1
050305e8,33,49912,598951,student,0,0,641,0.528,0,0.141,1
4df64eed,32,32147,385775,salaried,2,0,792,0.2394,0,0.2547,0
9402999d,36,48305,579669,self_employed,5,2,732,0.2853,0,0.3168,0
2af318ff,49,56860,682328,self_employed,4,0,828,0.1544,0,0.3458,0
01496aba,21,41797,501565,business,0,1,703,0.518,0,0.2024,1
cecd12d5,32,28002,336029,salaried,0,2,769,0.3931,0,0.1974,0
664dc229,36,63251,759022,self_employed,3,2,792,0.3561,0,0.244,0
5787d9a2,37,31031,372373,self_employed,1,0,675,0.5028,0,0.3466,1
3b525e02,31,31031,372378,salaried,1,2,565,0.5641,0,0.4072,1
68584c90,21,44125,529511,business,0,0,792,0.5392,0,0.2726,1
0909bf10,38,30559,366716,self_employed,5,1,675,0.2361,0,0.2989,0
55c4ed29,52,31646,379759,salaried,9,2,656,0.4938,0,0.5183,0
a8e651f0,21,29582,354984,salaried,0,3,555,0.46,0,0.4361,0
593b78cc,43,32267,387205,salaried,2,1,516,0.5227,0,0.0911,1
4ef93c22,31,38243,458926,business,0,3,700,0.2123,0,0.4675,0
cfcd3ab9,34,14405,172870,business,4,0,773,0.5078,0,0.408,1
7dc6c83f,24,33491,401894,student,1,1,481,0.4453,0,0.2047,1
daccbe04,31,15817,189809,salaried,3,0,642,0.4315,0,0.3419,0
5161a5c6,48,29147,349773,business,12,0,900,0.5023,0,0.459,1
ab0244cc,40,40751,489020,self_employed,4,0,709,0.3953,0,0.3605,0
36381a1c,52,30204,362452,self_employed,10,2,615,0.2435,1,0.1221,0
789d9d39,46,48022,576273,salaried,3,0,742,0.1408,1,0.3622,0
78733d7c,39,40926,491118,salaried,1,1,605,0.5976,0,0.5884,1
061b94c7,52,13264,159177,self_employed,1,0,688,0.1299,0,0.5524,0
1c2b4c51,39,60004,720056,salaried,3,1,673,0.4352,0,0.2337,0
c2212baa,43,39162,469944,self_employed,5,3,768,0.1568,0,0.3671,0
d49fd62b,32,27090,325090,self_employed,4,1,737,0.233,0,0.047,0
bd954103,35,28330,339965,salaried,2,0,718,0.1402,0,0.1259,0
59631a27,28,13698,164376,business,1,2,660,0.3698,0,0.5229,0
b73a38d9,44,38604,463248,business,8,3,524,0.5887,0,0.2077,1
a0a2ac8c,23,46917,563009,business,0,0,610,0.2384,0,0.3941,0
394c44d8,42,25773,309281,business,5,2,750,0.4656,0,0.133,0
1795fd2b,33,23292,279506,self_employed,5,1,603,0.3267,0,0.17,0
99c9b6f9,46,37284,447417,student,2,2,779,0.4211,0,0.227,0
02b7f806,42,59916,718994,salaried,0,0,581,0.2702,0,0.3432,0
a9928182,53,57180,686168,student,7,2,642,0.2251,0,0.3908,1
fb07b52e,42,50823,609885,salaried,0,1,614,0.3601,0,0.2569,0
cc37b952,21,86869,1042434,salaried,0,0,587,0.3377,0,0.1791,0
b7afec55,34,53053,636643,business,3,0,603,0.393,0,0.4604,0
ee1632d1,23,58900,706804,business,0,2,671,0.2175,0,0.131,0
59454193,29,36398,436785,salaried,2,1,624,0.3213,1,0.4652,0
fa7faf78,50,29944,359331,salaried,2,0,590,0.2302,0,0.2176,0
fbdfe224,41,58320,699845,salaried,0,1,627,0.1057,0,0.029,0
b4d3901b,28,22508,270098,salaried,2,0,766,0.1821,0,0.2025,0
8fdfa083,24,42353,508242,salaried,1,0,731,0.2855,0,0.5772,0
1b17862d,35,26623,319478,salaried,6,0,687,0.4872,0,0.3483,0
4b3dcc38,22,40772,489271,salaried,0,1,867,0.5541,0,0.1403,1
216f7b19,28,39484,473811,salaried,0,1,552,0.3079,0,0.2544,0
b9224b50,38,37663,451960,business,1,0,696,0.2798,1,0.4813,0
19853a60,46,34722,416664,business,1,1,658,0.329,1,0.3515,0
4310f875,41,44477,533732,salaried,9,2,526,0.2291,0,0.2,1
2d87cae8,21,47803,573647,business,0,1,711,0.2564,0,0.3798,0
6b7f71ce,38,18649,223799,salaried,4,1,588,0.3643,0,0.2246,0
b703c28c,35,34292,411512,salaried,3,0,696,0.2521,0,0.6546,0
da57f72c,39,28997,347970,self_employed,0,0,703,0.1148,0,0.3607,0
86f4e7e9,51,38195,458340,business,11,0,738,0.162,0,0.5054,0
1e1122a1,21,29023,348277,business,0,1,541,0.3954,0,0.5201,1
1a62b58a,29,62124,745494,self_employed,0,0,678,0.1513,0,0.4376,0
dd61e727,40,33941,407294,salaried,8,3,900,0.4919,0,0.3884,0
dc422b58,21,54559,654715,business,0,2,682,0.1156,0,0.1652,0
d4da4eb5,49,22802,273630,salaried,10,1,838,0.1061,0,0.2431,0
6a968f98,38,30846,370156,salaried,7,2,792,0.2882,0,0.4338,0
f82075f5,43,26542,318505,self_employed,8,0,687,0.3835,0,0.7395,0
09cf7382,29,41783,501403,salaried,2,3,632,0.2748,0,0.1857,0
fd23f8d5,43,20534,246414,student,0,0,667,0.1537,0,0.1164,0
a8f0298c,45,16222,194665,salaried,7,4,556,0.4965,0,0.5569,0
b5ce8469,37,26412,316946,salaried,2,1,856,0.539,0,0.1768,1
632cb872,37,45053,540638,student,0,1,606,0.3199,0,0.3561,0
be5d34a6,37,24311,291741,salaried,3,1,703,0.28,0,0.3563,0
5025c09d,26,39443,473316,salaried,1,0,835,0.3922,0,0.2433,0
a4866273,33,26155,313864,salaried,3,0,634,0.4853,0,0.3137,0
acba6fe8,33,15904,190848,business,1,2,626,0.5206,0,0.2974,1
c8ca0a9d,38,51353,616236,self_employed,5,1,716,0.2178,0,0.3199,0
57863353,44,46878,562543,self_employed,0,2,737,0.1016,0,0.4795,0
