credit_score,monthly_income,employment_type,loan_purpose,approved_amount,interest_rate,tenure_months,emi,income_multiplier
641,22104,salaried,education,111000,13.77,24,5294.62,5
732,32681,salaried,medical,163000,11.04,60,3556.16,5
763,29405,self_employed,medical,200000,10.11,36,6462.33,8
669,22951,salaried,education,115000,12.93,24,5452.03,5
716,26887,salaried,personal,134000,11.52,12,11914.33,5
752,17425,self_employed,home,118000,10.44,24,5491.85,8
672,27919,student,vehicle,70000,12.84,48,1866.99,5
764,50740,salaried,medical,406000,10.08,24,18746.35,8
736,44811,salaried,medical,224000,10.92,12,19794.05,5
766,32814,salaried,home,263000,10.02,12,23081.87,8
676,93138,self_employed,business,396000,12.72,60,8949.89,5
568,29655,salaried,home,59000,15.96,48,1679.68,2
811,23300,salaried,vehicle,186000,9.5,36,5971.12,8
471,26400,self_employed,business,45000,18.87,24,2259.56,2
564,29194,self_employed,education,50000,16.08,48,1408.58,2
584,88474,self_employed,personal,150000,15.48,60,3616.18,2
535,46935,salaried,medical,94000,16.95,12,8559.26,2
694,22904,business,personal,103000,12.18,12,9166.52,5
679,23574,salaried,business,118000,12.63,12,10507.75,5
753,21393,self_employed,home,145000,10.41,24,6740.42,8
708,42998,salaried,vehicle,215000,11.76,36,7116.17,5
607,24649,salaried,home,123000,14.79,36,4259.82,5
604,66947,business,home,301000,14.88,24,14590.12,5
713,53841,salaried,home,269000,11.61,60,5935.44,5
584,50372,salaried,education,101000,15.48,12,9115.85,2
662,74270,salaried,vehicle,371000,13.14,48,9988.27,5
619,31753,salaried,medical,159000,14.43,36,5459.51,5
900,34983,salaried,education,280000,9.5,24,12850.1,8
608,25802,salaried,medical,129000,14.76,36,4457.11,5
613,32484,salaried,vehicle,162000,14.61,48,4488.31,5
575,82201,salaried,vehicle,164000,15.75,36,5759.62,2
532,31068,salaried,education,62000,17.04,36,2216.62,2
846,52704,salaried,education,422000,9.5,24,19359.21,8
745,59069,self_employed,vehicle,251000,10.65,36,8177.29,5
733,31132,salaried,education,156000,11.01,24,7255.79,5
686,25337,self_employed,personal,108000,12.42,36,3598.36,5
736,59141,salaried,vehicle,296000,10.92,60,6417.55,5
820,23317,salaried,education,187000,9.5,48,4686.52,8
865,18116,salaried,vehicle,145000,9.5,60,3043.89,8
721,47004,salaried,medical,235000,11.37,60,5153.46,5
760,40308,self_employed,business,274000,10.2,24,12673.64,8
576,23620,business,education,43000,15.72,36,1488.91,2
642,39814,business,vehicle,179000,13.74,60,4144.72,5
729,47769,student,home,119000,11.13,12,10562.01,5
724,23797,self_employed,home,101000,11.28,12,8952.19,5
735,30259,salaried,education,151000,10.95,36,4949.69,5
600,40575,self_employed,education,69000,15.0,48,1919.7,2
531,30137,self_employed,personal,51000,17.07,24,2534.84,2
687,36121,self_employed,education,154000,12.39,24,7254.48,5
611,50610,self_employed,business,215000,14.67,12,19380.78,5
821,37022,self_employed,business,252000,9.5,24,11558.98,8
675,20509,salaried,business,103000,12.75,60,2320.15,5
493,63873,salaried,vehicle,128000,18.21,24,6390.63,2
542,30074,salaried,business,60000,16.74,36,2136.68,2
566,17452,self_employed,vehicle,30000,16.02,24,1453.0,2
549,60036,salaried,business,120000,16.53,24,5909.63,2
689,30629,business,education,138000,12.33,12,12267.55,5
786,17968,self_employed,education,122000,9.5,24,5610.25,8
715,40897,business,vehicle,184000,11.55,48,4805.86,5
585,62845,student,personal,63000,15.45,24,3060.62,2
817,52350,business,education,377000,9.5,48,9469.46,8
666,19604,salaried,medical,98000,13.02,12,8756.0,5
742,12516,salaried,medical,63000,10.74,36,2041.12,5
771,18019,self_employed,home,123000,9.87,60,2595.69,8
715,41126,student,vehicle,103000,11.55,60,2263.75,5
690,53743,self_employed,home,228000,12.3,12,20326.08,5
664,19151,self_employed,personal,81000,13.08,12,7272.96,5
566,53516,business,home,96000,16.02,48,2730.97,2
820,43902,salaried,personal,351000,9.5,48,8823.81,8
483,24705,self_employed,medical,42000,18.51,48,1244.93,2
728,43518,salaried,home,218000,11.16,12,19247.31,5
612,17925,student,education,45000,14.64,24,2165.25,5
857,21424,business,business,154000,9.5,12,13525.63,8
729,15818,salaried,education,79000,11.13,60,1724.83,5
751,20276,self_employed,personal,138000,10.47,12,12152.16,8
698,24879,self_employed,home,106000,12.06,36,3515.05,5
687,25600,salaried,medical,128000,12.39,12,11396.04,5
568,53758,self_employed,home,91000,15.96,24,4472.94,2
635,22647,self_employed,business,96000,13.95,36,3287.35,5
569,26381,salaried,home,53000,15.93,12,4785.56,2
611,25253,salaried,vehicle,126000,14.67,60,2982.03,5
687,30511,self_employed,business,130000,12.39,36,4331.16,5
701,68905,self_employed,business,293000,11.97,48,7707.51,5
633,22733,salaried,business,114000,14.01,12,10206.45,5
610,44823,salaried,personal,224000,14.7,48,6203.34,5
553,26752,salaried,business,54000,16.41,60,1312.84,2
655,30512,salaried,medical,153000,13.35,48,4119.48,5
731,53169,salaried,medical,266000,11.07,36,8712.36,5
708,25086,self_employed,vehicle,107000,11.76,60,2358.77,5
713,45608,salaried,medical,228000,11.61,60,5027.84,5
730,28187,business,personal,127000,11.1,24,5917.77,5
674,14710,salaried,vehicle,74000,12.78,48,1965.18,5
600,12939,self_employed,home,22000,15.0,48,612.18,2
655,35444,salaried,home,177000,13.35,60,4064.13,5
674,29077,business,medical,131000,12.78,12,11673.75,5
676,80800,business,business,364000,12.72,24,17238.46,5
900,24376,self_employed,home,166000,9.5,24,7610.81,8
669,37494,salaried,vehicle,187000,12.93,60,4258.88,5
514,48914,salaried,business,98000,17.58,60,2461.92,2
695,57490,salaried,vehicle,287000,12.15,12,25559.86,5
625,20849,salaried,medical,104000,14.25,48,2861.83,5
575,42767,self_employed,business,73000,15.75,36,2547.13,2
831,13715,salaried,vehicle,110000,9.5,36,3514.83,8
790,45762,salaried,vehicle,366000,9.5,36,11727.15,8
613,31629,student,medical,79000,14.61,36,2726.06,5
655,31004,salaried,vehicle,155000,13.35,12,13871.79,5
659,45349,salaried,education,227000,13.23,48,6108.97,5
733,51888,salaried,education,259000,11.01,60,5642.17,5
900,75932,salaried,business,607000,9.5,12,53264.31,8
622,17818,business,business,80000,14.34,12,7212.22,5
623,8199,business,vehicle,37000,14.31,60,864.52,5
631,31180,salaried,vehicle,156000,14.07,24,7490.42,5
695,15419,self_employed,vehicle,66000,12.15,48,1730.61,5
747,81890,self_employed,business,348000,10.59,36,11326.79,5
743,28422,student,medical,71000,10.71,24,3302.27,5
554,44870,business,education,81000,16.38,48,2304.71,2
846,78310,salaried,personal,626000,9.5,60,13157.32,8
870,24921,salaried,home,199000,9.5,36,6386.48,8
811,13969,self_employed,home,95000,9.5,36,3042.92,8
665,41193,business,business,185000,13.05,24,8817.2,5
661,17987,salaried,vehicle,90000,13.17,48,2420.43,5
811,35373,business,home,255000,9.5,12,22331.81,8
533,16968,self_employed,vehicle,29000,17.01,24,1426.4,2
673,45203,salaried,business,226000,12.81,36,7594.68,5
709,51960,salaried,personal,260000,11.73,12,23050.47,5
738,54372,self_employed,personal,231000,10.86,24,10755.23,5
743,37799,salaried,business,189000,10.71,48,4858.18,5
728,77024,business,education,347000,11.16,60,7563.85,5
752,55403,salaried,business,443000,10.44,48,11335.3,8
638,39007,salaried,education,195000,13.86,36,6652.72,5
748,39348,salaried,home,197000,10.56,24,9129.57,5
630,76000,salaried,business,380000,14.1,36,13006.07,5
538,31451,salaried,education,63000,16.86,36,2238.28,2
620,36432,salaried,education,182000,14.4,36,6261.31,5
518,24140,business,medical,43000,17.46,12,3972.62,2
789,24945,salaried,medical,200000,9.5,12,17498.43,8
708,25916,self_employed,business,110000,11.76,24,5172.56,5
774,17730,salaried,personal,142000,9.78,24,6531.14,8
698,24459,salaried,business,122000,12.06,60,2724.11,5
738,59885,student,medical,150000,10.86,12,13222.25,5
680,31451,salaried,medical,157000,12.6,48,4187.68,5
720,66764,self_employed,business,284000,11.4,36,9343.37,5
577,62392,salaried,vehicle,125000,15.69,36,4367.99,2
680,26804,business,personal,121000,12.6,48,3212.09,5
650,38573,salaried,personal,193000,13.5,48,5222.13,5
788,45840,salaried,personal,367000,9.5,48,9213.18,8
707,31776,salaried,personal,159000,11.79,24,7463.69,5
659,47997,business,personal,216000,13.23,12,19314.69,5
847,35845,salaried,medical,287000,9.5,12,25144.19,8
722,44904,student,vehicle,112000,11.34,36,3693.43,5
682,93327,salaried,education,467000,12.54,36,15619.74,5
800,24285,self_employed,education,165000,9.5,36,5289.96,8
519,32777,business,home,59000,17.43,60,1479.96,2
624,40392,business,business,182000,14.28,48,4992.55,5
693,41770,self_employed,personal,178000,12.21,36,5914.16,5
593,38426,salaried,home,77000,15.21,60,1836.8,2
709,17253,business,medical,78000,11.73,12,6888.37,5
772,24193,salaried,home,194000,9.84,24,8916.88,8
635,40882,business,vehicle,184000,13.95,48,5022.65,5
565,27155,salaried,medical,54000,16.05,60,1322.16,2
753,43907,salaried,education,351000,10.41,24,16275.31,8
623,41449,salaried,business,207000,14.31,48,5695.62,5
581,59196,self_employed,home,101000,15.57,48,2829.87,2
683,22577,salaried,personal,113000,12.51,36,3777.07,5
472,20391,salaried,business,41000,18.84,48,1216.0,2
664,15703,student,home,39000,13.08,60,894.87,5
670,67281,self_employed,home,286000,12.9,60,6491.53,5
722,29734,salaried,education,149000,11.34,12,13163.58,5
877,35461,self_employed,business,241000,9.5,12,21143.86,8
588,60094,self_employed,medical,102000,15.36,12,9238.23,2
717,13445,business,personal,61000,11.49,12,5361.36,5
629,89100,salaried,home,446000,14.13,48,12203.15,5
717,24670,self_employed,medical,105000,11.49,48,2734.88,5
726,37622,salaried,business,188000,11.22,60,4110.65,5
802,46361,salaried,vehicle,371000,9.5,60,7789.34,8
567,23018,student,home,23000,15.99,12,2088.37,2
700,17201,salaried,personal,86000,12.0,48,2264.92,5
544,36821,self_employed,medical,63000,16.68,24,3085.28,2
653,17693,salaried,business,88000,13.41,12,7918.54,5
582,43432,salaried,vehicle,87000,15.54,48,2441.34,2
740,31233,salaried,medical,156000,10.8,36,5097.87,5
760,40993,self_employed,business,279000,10.2,48,7096.75,8
601,30706,salaried,personal,154000,14.97,36,5320.06,5
600,56348,salaried,education,113000,15.0,24,5464.26,2
664,49658,business,personal,223000,13.08,24,10632.22,5
610,39483,business,personal,178000,14.7,36,6133.14,5
749,29992,salaried,business,150000,10.53,60,3225.51,5
859,74895,salaried,vehicle,599000,9.5,60,12583.5,8
691,24905,salaried,personal,125000,12.27,36,4152.25,5
646,30523,salaried,vehicle,153000,13.62,24,7300.25,5
443,46362,salaried,personal,93000,19.71,60,2441.71,2
645,35676,self_employed,medical,152000,13.65,36,5156.5,5
712,48669,salaried,education,243000,11.64,24,11414.42,5
656,31029,self_employed,education,132000,13.32,12,11798.43,5
705,26336,self_employed,business,112000,11.85,12,9937.14,5
693,39388,business,personal,177000,12.21,48,4685.96,5
714,47085,self_employed,business,200000,11.58,60,4409.02,5
742,19434,business,business,87000,10.74,48,2249.33,5
637,29051,salaried,medical,145000,13.89,60,3371.58,5
857,69578,salaried,medical,557000,9.5,60,11690.16,8
612,22695,student,personal,57000,14.64,60,1339.12,5
622,35983,salaried,medical,180000,14.34,36,6178.88,5
592,18292,self_employed,home,31000,15.24,24,1511.33,2
648,43636,salaried,medical,218000,13.56,24,10430.25,5
563,22261,business,personal,40000,16.11,24,1964.05,2
719,30907,salaried,education,155000,11.43,12,13689.42,5
697,47976,self_employed,personal,204000,12.09,60,4544.89,5
669,10929,self_employed,vehicle,46000,12.93,36,1563.56,5
800,44596,self_employed,business,303000,9.5,60,6368.95,8
416,41605,business,medical,75000,20.52,60,2005.83,2
817,48645,student,business,195000,9.5,36,6233.08,8
683,41348,salaried,medical,207000,12.51,36,6917.26,5
478,36955,salaried,education,74000,18.66,36,2696.63,2
807,56170,salaried,business,449000,9.5,48,11289.52,8
822,30371,salaried,medical,243000,9.5,12,21304.37,8
772,28858,self_employed,medical,196000,9.84,48,4962.09,8
756,24334,self_employed,business,165000,10.32,60,3542.03,8
593,28408,self_employed,business,48000,15.21,36,1679.12,2
796,57970,salaried,vehicle,464000,9.5,12,40664.29,8
691,52876,salaried,medical,264000,12.27,60,5917.17,5
895,39094,self_employed,medical,266000,9.5,12,23309.91,8
737,24879,salaried,business,124000,10.89,36,4066.2,5
528,35140,salaried,personal,70000,17.16,36,2511.32,2
675,31987,salaried,medical,160000,12.75,24,7584.95,5
682,31511,business,home,142000,12.54,12,12634.94,5
693,9364,salaried,personal,47000,12.21,60,1046.56,5
739,25859,salaried,personal,129000,10.83,24,6016.14,5
547,24941,business,education,45000,16.59,36,1591.47,2
555,31123,salaried,vehicle,62000,16.35,60,1525.31,2
639,41297,salaried,business,206000,13.83,48,5625.0,5
659,53194,salaried,education,266000,13.23,24,12673.58,5
718,31379,student,vehicle,78000,11.46,60,1723.73,5
669,37286,salaried,home,186000,12.93,24,8857.2,5
633,50256,salaried,business,251000,14.01,36,8589.52,5
802,37672,self_employed,medical,256000,9.5,12,22462.06,8
640,85543,salaried,vehicle,428000,13.8,24,20495.5,5
730,22842,business,medical,103000,11.1,12,9089.59,5
637,32039,salaried,medical,160000,13.89,48,4368.81,5
757,55011,self_employed,home,374000,10.29,48,9539.84,8
662,49974,business,personal,225000,13.14,60,5133.0,5
694,76781,salaried,education,384000,12.18,36,12784.31,5
705,37540,salaried,medical,188000,11.85,24,8822.73,5
613,19519,salaried,home,98000,14.61,24,4714.12,5
485,25206,salaried,business,50000,18.45,48,1492.79,2
729,15984,self_employed,home,68000,11.13,36,2228.22,5
657,24277,salaried,business,121000,13.29,60,2779.99,5
633,23282,business,home,105000,14.01,36,3581.41,5
687,51265,salaried,home,256000,12.39,12,22821.03,5
857,41528,salaried,medical,332000,9.5,12,29131.25,8
702,50417,self_employed,medical,214000,11.94,24,10080.57,5
656,15295,salaried,medical,76000,13.32,60,1752.6,5
521,28831,salaried,home,58000,17.37,24,2861.27,2
605,44093,salaried,medical,220000,14.85,60,5227.55,5
880,28896,self_employed,personal,196000,9.5,48,4936.65,8
633,109687,salaried,medical,548000,14.01,24,26334.55,5
498,25387,salaried,vehicle,51000,18.06,48,1493.08,2
568,23361,salaried,business,47000,15.96,60,1135.21,2
824,34744,salaried,vehicle,278000,9.5,60,5837.57,8
570,38299,salaried,education,77000,15.9,48,2166.93,2
767,20529,salaried,medical,164000,9.99,24,7577.9,8
753,30068,salaried,vehicle,241000,10.41,48,6148.45,8
694,34127,business,vehicle,154000,12.18,60,3430.11,5
669,39449,business,education,178000,12.93,36,5975.42,5
621,26891,business,education,121000,14.37,12,10886.24,5
526,48345,business,vehicle,87000,17.22,24,4311.8,2
625,74866,business,business,337000,14.25,60,7882.79,5
604,28711,self_employed,home,122000,14.88,60,2895.29,5
526,59644,salaried,home,119000,17.22,60,2978.78,2
618,20794,salaried,home,104000,14.46,24,5014.64,5
630,36330,self_employed,business,154000,14.1,12,13870.86,5
804,35455,salaried,home,284000,9.5,48,7125.93,8
778,44191,salaried,education,354000,9.66,60,7452.53,8
637,72554,self_employed,home,308000,13.89,60,7157.31,5
641,19007,salaried,education,95000,13.77,60,2200.01,5
583,22196,salaried,education,44000,15.51,24,2163.26,2
702,36429,salaried,home,182000,11.94,48,4791.34,5
756,21675,salaried,personal,173000,10.32,24,8027.48,8
567,18007,self_employed,vehicle,31000,15.99,36,1076.13,2
477,16431,salaried,business,33000,18.69,12,3023.7,2
657,34751,salaried,personal,174000,13.29,60,3979.41,5
796,25436,salaried,education,203000,9.5,36,6518.51,8
693,31937,salaried,education,160000,12.21,48,4221.7,5
645,37531,self_employed,education,160000,13.65,36,5424.53,5
707,31500,salaried,education,158000,11.79,48,4131.44,5
621,39757,business,vehicle,179000,14.37,60,4197.26,5
543,20300,salaried,vehicle,41000,16.71,36,1441.66,2
645,33889,self_employed,vehicle,144000,13.65,36,4898.1,5
639,30064,business,business,135000,13.83,12,12136.36,5
688,20689,self_employed,education,88000,12.36,60,1972.03,5
594,60286,salaried,medical,121000,15.18,36,4190.32,2
708,35958,business,education,162000,11.76,48,4242.07,5
624,53629,student,personal,134000,14.28,12,12055.74,5
749,29964,salaried,home,150000,10.53,48,3838.14,5
705,45203,salaried,business,226000,11.85,12,20065.67,5
671,13585,self_employed,vehicle,58000,12.87,12,5153.59,5
782,52197,salaried,home,418000,9.54,36,13384.1,8
739,48741,salaried,home,244000,10.83,60,5278.19,5
567,16410,salaried,home,33000,15.99,24,1606.85,2
545,51198,self_employed,education,87000,16.65,36,3087.96,2
718,37637,self_employed,home,160000,11.46,48,4170.1,5
725,39194,student,home,98000,11.25,60,2142.7,5
805,28368,salaried,home,227000,9.5,60,4766.39,8
660,19822,business,education,89000,13.2,48,2401.9,5
546,10285,salaried,personal,21000,16.62,60,507.03,2
558,18798,salaried,personal,38000,16.26,60,919.46,2
660,26923,student,business,67000,13.2,60,1538.37,5
663,41040,salaried,medical,205000,13.11,12,18338.67,5
629,13497,salaried,vehicle,67000,14.13,24,3244.37,5
817,18536,salaried,medical,148000,9.5,60,3114.43,8
652,20279,self_employed,medical,86000,13.44,48,2331.02,5
667,33848,salaried,vehicle,169000,12.99,12,15115.67,5
639,49078,self_employed,medical,209000,13.83,24,9997.89,5
675,41136,salaried,business,206000,12.75,12,18346.68,5
789,66959,self_employed,business,455000,9.5,12,39924.31,8
660,46017,salaried,education,230000,13.2,48,6195.5,5
707,27530,self_employed,personal,117000,11.79,48,3069.15,5
600,31494,self_employed,medical,54000,15.0,36,1855.99,2
682,45891,self_employed,education,195000,12.54,12,17378.35,5
745,53873,self_employed,medical,229000,10.65,48,5878.83,5
540,68597,self_employed,education,117000,16.8,60,2885.68,2
756,26339,salaried,business,211000,10.32,60,4510.34,8
809,40447,salaried,business,324000,9.5,12,28372.57,8
644,43454,business,education,196000,13.68,36,6652.85,5
771,68705,salaried,business,550000,9.87,24,25330.22,8
485,98418,salaried,medical,197000,18.45,12,18088.14,2
486,17665,business,education,32000,18.42,60,814.72,2
657,32949,student,medical,82000,13.29,48,2221.74,5
685,42046,self_employed,personal,179000,12.45,60,4015.75,5
666,69962,salaried,vehicle,350000,13.02,24,16633.94,5
658,37922,self_employed,education,161000,13.26,36,5450.71,5
652,15386,business,business,69000,13.44,24,3306.05,5
543,56110,student,home,56000,16.71,24,2766.41,2
805,52585,business,medical,379000,9.5,48,9512.1,8
621,15140,self_employed,medical,64000,14.37,48,1770.38,5
843,68660,salaried,medical,549000,9.5,36,17595.3,8
638,38003,salaried,personal,190000,13.86,48,5179.2,5
595,40410,salaried,vehicle,81000,15.15,12,7300.54,2
624,35791,salaried,home,179000,14.28,36,6140.74,5
702,32521,self_employed,medical,138000,11.94,24,6502.52,5
697,34689,self_employed,personal,147000,12.09,48,3888.87,5
679,39433,self_employed,business,168000,12.63,24,7938.62,5
748,30879,salaried,home,154000,10.56,36,5022.66,5
581,46050,business,education,83000,15.57,48,2330.91,2
679,42817,business,home,193000,12.63,48,5133.82,5
656,60082,student,personal,150000,13.32,36,5084.24,5
639,38294,salaried,home,191000,13.83,12,17176.38,5
563,101928,self_employed,vehicle,173000,16.11,24,8493.33,2
724,43059,business,personal,194000,11.28,48,5034.38,5
536,28071,business,vehicle,51000,16.92,36,1799.47,2
727,16141,business,medical,73000,11.19,24,3391.92,5
728,53252,salaried,personal,266000,11.16,12,23552.43,5
564,130606,salaried,education,261000,16.08,36,9193.81,2
700,34187,salaried,personal,171000,12.0,36,5677.61,5
754,31801,salaried,vehicle,254000,10.38,36,8254.65,8
607,21428,salaried,vehicle,107000,14.79,36,3703.09,5
638,31229,salaried,medical,156000,13.86,36,5326.2,5
779,29041,self_employed,home,197000,9.63,12,17327.7,8
733,34530,salaried,medical,173000,11.01,36,5653.29,5
767,39979,salaried,personal,320000,9.99,36,10318.58,8
616,18187,salaried,medical,91000,14.52,24,4388.49,5
830,45617,salaried,home,365000,9.5,24,16755.87,8
594,20057,self_employed,vehicle,34000,15.18,24,1656.23,2
578,53889,self_employed,business,92000,15.66,36,3205.47,2
623,18087,salaried,vehicle,90000,14.31,48,2485.49,5
691,21648,business,home,97000,12.27,24,4598.2,5
677,24762,salaried,business,124000,12.69,24,5868.35,5
733,17543,salaried,business,88000,11.01,48,2267.55,5
751,47525,salaried,business,380000,10.47,48,9729.04,8
685,37347,self_employed,business,159000,12.45,24,7505.31,5
775,35966,salaried,business,288000,9.75,12,25263.07,8
804,102429,self_employed,business,697000,9.5,48,17498.72,8
735,19808,salaried,business,99000,10.95,36,3240.24,5
601,55729,business,personal,251000,14.97,36,8689.84,5
687,25024,salaried,personal,125000,12.39,48,3318.97,5
513,77307,student,personal,77000,17.61,12,7073.22,2
757,37639,salaried,personal,301000,10.29,48,7679.15,8
793,33022,salaried,home,264000,9.5,48,6637.01,8
702,20788,salaried,home,104000,11.94,12,9232.25,5
623,45016,salaried,medical,225000,14.31,48,6185.77,5
731,19040,self_employed,education,81000,11.07,48,2094.19,5
724,56230,salaried,education,281000,11.28,12,24885.31,5
681,35818,salaried,business,179000,12.57,60,4035.58,5
572,17727,salaried,home,35000,15.84,12,3214.13,2
754,36025,salaried,vehicle,288000,10.38,48,7362.22,8
709,39893,salaried,education,199000,11.73,36,6599.52,5
566,17080,self_employed,home,29000,16.02,12,2634.74,2
690,64339,self_employed,home,273000,12.3,12,24333.51,5
705,27917,salaried,personal,140000,11.85,60,3094.5,5
687,54432,salaried,vehicle,272000,12.39,12,24231.06,5
572,17332,salaried,home,35000,15.84,36,1215.97,2
610,36399,salaried,personal,182000,14.7,36,6282.26,5
841,41169,self_employed,business,280000,9.5,12,24547.14,8
626,22718,salaried,personal,114000,14.22,12,10211.02,5
775,32495,salaried,personal,260000,9.75,48,6562.09,8
552,15082,self_employed,personal,26000,16.44,48,732.44,2
746,29368,self_employed,vehicle,125000,10.62,36,4063.91,5
716,32669,business,home,147000,11.52,24,6887.46,5
605,28329,salaried,business,142000,14.85,24,6857.89,5
875,25594,self_employed,personal,174000,9.5,12,15260.73,8
616,44339,salaried,business,222000,14.52,48,6116.15,5
757,30830,salaried,personal,247000,10.29,12,21717.5,8
714,16463,business,business,74000,11.58,60,1632.31,5
704,25879,self_employed,home,110000,11.88,48,2889.88,5
542,17002,business,business,31000,16.74,36,1087.15,2
621,31827,salaried,personal,159000,14.37,60,3733.47,5
656,45049,self_employed,vehicle,191000,13.32,48,5166.9,5
827,14896,salaried,vehicle,119000,9.5,24,5471.79,8
629,83125,salaried,home,416000,14.13,12,37343.44,5
767,26928,self_employed,business,183000,9.99,60,3889.68,8
794,15635,salaried,medical,125000,9.5,24,5743.26,8
703,58303,self_employed,business,248000,11.91,36,8219.52,5
794,40494,salaried,vehicle,324000,9.5,60,6803.73,8
737,52734,self_employed,education,224000,10.89,36,7325.8,5
622,38881,student,personal,97000,14.34,36,3338.24,5
752,49069,salaried,business,393000,10.44,12,34592.37,8
584,47942,business,business,86000,15.48,12,7808.51,2
497,28938,salaried,education,58000,18.09,24,2891.98,2
654,40701,salaried,education,204000,13.38,48,5498.03,5
695,14500,salaried,medical,73000,12.15,12,6447.02,5
653,58147,self_employed,vehicle,247000,13.41,48,6680.14,5
679,41138,salaried,business,206000,12.63,60,4641.28,5
544,31781,salaried,business,64000,16.68,36,2256.06,2
817,30698,self_employed,personal,209000,9.5,12,18304.11,8
731,52549,salaried,medical,263000,11.07,60,5722.0,5
642,38739,business,personal,174000,13.74,36,5936.17,5
530,56536,salaried,medical,113000,17.1,36,4037.02,2
830,30130,self_employed,vehicle,205000,9.5,12,17965.48,8
508,22619,salaried,home,45000,17.76,48,1323.22,2
776,30456,self_employed,vehicle,207000,9.72,48,5224.96,8
738,51078,salaried,home,255000,10.86,24,11886.75,5
816,17855,business,home,129000,9.5,24,5902.78,8
640,42640,salaried,education,213000,13.8,48,5804.7,5
704,22572,salaried,personal,113000,11.88,48,2965.42,5
742,57099,salaried,education,285000,10.74,48,7342.81,5
663,45525,salaried,education,228000,13.11,36,7681.72,5
741,32851,self_employed,medical,140000,10.77,60,3019.68,5
677,79676,salaried,personal,398000,12.69,24,18881.97,5
713,34838,salaried,medical,174000,11.61,60,3840.59,5
643,25265,self_employed,business,107000,13.71,12,9626.66,5
587,47283,salaried,business,95000,15.39,24,4602.82,2
668,22643,salaried,personal,113000,12.96,24,5380.38,5
