session_id,declared_age,video_estimated_age,age_discrepancy,location_mismatch_km,face_liveness_score,speech_consistency_score,device_fingerprint_seen_before,application_speed_seconds,fraud_label
584a28af-a29,33,30,3,17.4,0.7291,0.9032,0,95.8,0
395d6f1f-dd8,49,41,8,12.7,0.9718,0.8016,0,118.8,0
ad16a137-c77,50,47,3,14.5,0.6472,0.6051,0,113.5,0
3a9d289d-2d1,39,32,7,13.6,0.7991,0.9499,1,119.5,0
932e8073-a36,28,21,7,7.8,0.8089,0.9515,1,72.2,0
092be468-ea7,36,40,4,16.2,0.8578,0.7366,1,129.3,0
48b7997f-d9b,41,39,2,41.4,0.9348,0.6603,1,175.0,0
bfb3015b-74f,40,50,10,22.8,0.9809,0.7342,1,72.5,0
9528613a-5ff,59,48,11,10.8,0.6496,0.7328,0,90.2,0
f255055f-7a3,34,36,2,42.4,0.6969,0.3894,1,92.6,0
02092639-12a,45,37,8,12.3,0.4382,0.8946,1,110.2,0
f7da0b93-a67,48,54,6,5.3,0.5149,0.9929,0,135.4,0
4a7cc501-aec,24,28,4,4.3,0.8976,0.761,1,55.0,0
beb0a4b1-2f5,32,24,8,10.7,0.673,0.7056,1,65.2,0
01f70ae2-7a4,43,55,12,50.9,0.9684,0.715,0,89.3,0
44a01090-f1c,34,38,4,25.8,0.7515,0.6012,0,151.6,0
795b68c1-22a,31,19,12,9.3,0.9501,0.7043,1,150.7,0
8809873e-570,36,36,0,11.2,0.6397,0.5853,0,125.9,0
0ddb4b07-bd9,42,53,11,12.5,0.7507,0.8289,1,66.9,0
38ee293c-900,49,57,8,20.1,0.2992,0.8943,1,110.9,0
0cf903c1-aa8,47,38,9,14.5,0.6219,0.9639,0,52.3,0
29e5bea1-5fc,54,60,6,4.6,0.7433,0.5643,1,105.1,0
8b52680c-1e2,34,32,2,19.9,0.8214,0.8283,1,59.6,0
758ed9c7-97c,31,33,2,30.1,0.9042,0.7715,1,175.2,0
033ac266-b5f,41,39,2,6.0,0.8818,0.5122,1,139.9,0
637a4200-544,47,59,12,3.1,0.7006,0.5964,0,61.2,0
63e0a857-9e3,35,23,12,20.3,0.9626,0.683,0,85.8,0
341fdd40-973,34,33,1,1.9,0.7442,0.7704,0,112.3,0
3e76324d-a34,49,52,3,43.5,0.2775,0.8616,0,92.8,0
6ce9266e-8c4,37,26,11,5.4,0.8236,0.6608,0,131.7,0
81705beb-e6f,22,31,9,4.6,0.5965,0.6147,0,101.7,1
cd046e36-378,44,54,10,3.8,0.8341,0.8474,1,141.2,0
389a1360-e7c,38,26,12,9.2,0.7036,0.9452,0,69.9,0
6f20b77a-314,61,63,2,16.6,0.7326,0.9056,1,144.0,0
9d5051d8-8da,31,37,6,2.1,0.8048,0.2056,1,61.2,0
88458ca6-71e,32,30,2,52.2,0.6664,0.6895,1,136.7,0
a39c5563-1d8,53,62,9,0.2,0.7475,0.8281,0,157.9,0
a5811bf1-d9a,21,18,3,15.1,0.9116,0.3614,1,129.5,0
996e5499-b09,64,63,1,8.8,0.8804,0.7469,1,96.4,0
4db83892-022,47,37,10,4.2,0.8547,0.8349,0,131.4,0
00439a8c-d8a,63,73,10,2.4,0.4156,0.8439,1,88.4,0
34103252-f90,52,46,6,2.6,0.8111,0.2526,1,187.8,0
1d3f09a9-2d0,22,22,0,5.3,0.6253,0.8907,1,143.3,0
2d8acc53-ce1,53,60,7,6.6,0.8526,0.5791,1,79.6,0
7a9b1572-0a2,54,65,11,6.3,0.5659,0.7958,1,31.5,1
955f0666-54a,54,57,3,6.7,0.8321,0.7162,1,130.9,0
26b7faf3-ab8,47,48,1,35.2,0.7968,0.9731,1,152.2,0
10a2129e-c3f,25,30,5,19.0,0.8684,0.89,1,50.0,0
229516ce-55c,43,55,12,23.7,0.4363,0.7825,0,197.8,0
0aca3894-be7,25,21,4,3.0,0.6458,0.8481,1,134.5,0
87c148a5-01d,36,37,1,31.2,0.7492,0.9137,1,160.0,0
ec7a8d90-904,29,21,8,26.1,0.971,0.9124,1,138.9,0
34517e5e-598,32,21,11,11.6,0.65,0.5606,1,18.1,1
39471a2c-181,64,67,3,26.0,0.8758,0.8673,1,177.0,0
dbcebee5-e4e,39,35,4,6.0,0.9521,0.9684,1,106.9,0
ff8aa174-a7f,52,57,5,8.6,0.8444,0.548,1,166.5,0
169f3164-0f2,36,45,9,14.1,0.9285,0.5376,1,68.0,0
4e769485-6cb,56,68,12,10.2,0.568,0.6203,1,112.1,0
cb594ee7-1e9,47,57,10,17.5,0.9689,0.7445,0,157.1,0
6984fdab-dda,38,50,12,11.9,0.7414,0.8029,1,147.0,0
22f606b9-4ac,62,52,10,3.5,0.9663,0.9626,0,122.7,0
e7801d78-074,59,55,4,0.5,0.7964,0.7639,1,121.9,0
a5701c1f-cc3,27,20,7,26.3,0.8994,0.8067,1,108.3,0
299f25eb-140,32,40,8,9.1,0.8852,0.7095,1,118.1,0
990c94f9-33e,36,28,8,20.1,0.9744,0.8258,1,70.0,0
adf0d704-043,50,52,2,15.0,0.5749,0.7959,1,133.1,0
1e319935-6d2,61,73,12,5.6,0.7646,0.6905,0,116.1,0
b1955faa-1d8,26,27,1,9.5,0.9089,0.832,1,142.6,0
a457fb83-4df,60,68,8,44.5,0.7256,0.8426,1,124.6,0
c827f1de-5f5,39,35,4,2.6,0.8455,0.5288,0,74.6,0
6b353216-180,47,53,6,1.0,0.7988,0.9336,1,128.7,0
b2a08bee-212,59,60,1,5.4,0.7316,0.5502,0,202.2,0
2166d714-db1,50,53,3,19.7,0.9036,0.771,1,170.1,0
04d965d9-5d0,29,20,9,12.3,0.8675,0.8997,1,93.9,0
1e5330d1-191,46,34,12,6.1,0.8329,0.6898,1,122.1,0
f92b3d6f-f7d,31,20,11,34.1,0.6357,0.9674,1,107.8,0
58bbb377-593,58,62,4,3.0,0.9012,0.5413,1,130.9,0
17faddea-744,42,54,12,13.0,0.9598,0.5877,0,57.1,0
cb904168-9a1,53,48,5,0.3,0.8951,0.6355,1,95.6,0
c278b236-c09,59,70,11,19.3,0.9157,0.9892,1,94.0,0
fcdc317e-864,31,42,11,22.1,0.927,0.8002,1,10.0,1
4f9716f5-8ea,41,39,2,2.2,0.9701,0.4961,1,161.0,0
296d1a14-11e,26,24,2,11.0,0.9191,0.8314,1,141.6,0
7aa32767-da7,50,40,10,7.7,0.9669,0.8242,1,205.6,0
ff8ec037-252,57,68,11,0.3,0.6878,0.6679,0,168.9,0
32aebf28-6d7,63,62,1,21.5,0.6713,0.4336,1,135.7,0
49151ff4-29d,62,51,11,11.8,0.8738,0.7226,1,74.2,0
94295b3f-857,52,42,10,14.1,0.8932,0.7669,0,140.9,0
302d2c26-85c,33,36,3,4.3,0.7847,0.6211,0,176.6,0
0f0e7a6b-5eb,25,18,7,14.2,0.9169,0.7043,1,102.9,0
0aff9e68-156,28,30,2,10.2,0.9596,0.5182,0,118.3,0
e5b53c05-c3c,33,36,3,34.7,0.9802,0.5006,0,142.0,0
deed4219-828,54,59,5,4.0,0.3701,0.784,1,103.2,0
ab1e4ede-162,32,25,7,19.8,0.6963,0.8132,1,108.7,0
91f34f8d-f53,48,50,2,1.7,0.7475,0.8946,0,107.1,0
40e04473-c6b,25,19,6,21.6,0.8352,0.6151,1,103.2,0
3fab0d38-5e2,32,33,1,21.5,0.9366,0.6579,1,181.0,0
407a475f-72d,49,59,10,22.8,0.9057,0.8541,1,60.6,0
bb366f11-c62,39,49,10,47.3,0.6236,0.8698,1,162.5,0
0a3f87db-fbb,50,44,6,13.7,0.5592,0.6304,1,171.8,0
f9d21025-b22,38,33,5,6.8,0.5416,0.9153,0,137.7,0
0ad9647c-e4e,51,53,2,0.5,0.8112,0.577,1,72.2,0
464ea350-bf2,52,43,9,20.7,0.9168,0.9695,1,100.5,0
2d645ff7-031,30,20,10,10.5,0.713,0.5864,1,110.8,0
83ef9a30-6f2,29,24,5,6.7,0.5741,0.8523,0,154.5,0
2a95b55c-60e,28,24,4,8.1,0.5433,0.7203,1,63.9,0
185c4260-795,48,42,6,14.2,0.6941,0.3745,1,102.8,0
c1a4c2b5-d6e,42,38,4,14.7,0.8771,0.7505,0,94.5,0
5f690342-b77,38,26,12,7.6,0.484,0.9075,1,150.7,0
0b6fcd28-695,26,37,11,0.6,0.7783,0.6554,1,144.4,0
5cac9585-1f6,27,28,1,7.2,0.4534,0.5314,0,173.7,0
f5b74455-282,29,25,4,15.3,0.8149,0.5919,1,130.7,0
bbb8dc09-d36,63,66,3,6.8,0.9387,0.6792,1,89.5,0
b0f0a4fd-d03,32,42,10,13.0,0.9122,0.8259,0,58.4,0
e70487e5-c16,24,22,2,0.9,0.8993,0.8316,1,166.5,0
957035ba-5b4,22,18,4,28.2,0.898,0.3606,1,140.9,0
06b94e13-020,61,73,12,9.8,0.9623,0.5309,1,122.0,0
1bc8d26c-ebb,63,63,0,6.9,0.7112,0.6597,1,46.5,0
4beb2680-592,57,63,6,14.1,0.6406,0.8037,1,80.2,0
54905d83-d99,21,18,3,5.3,0.6011,0.4121,1,134.6,0
85b394b3-d13,37,39,2,10.3,0.5857,0.9683,0,197.0,0
72eed5a9-c1d,62,60,2,66.7,0.5187,0.7849,0,106.8,1
3f8aadc9-470,31,31,0,12.9,0.8715,0.6966,1,83.9,0
5d32b654-426,29,35,6,7.7,0.9641,0.6234,0,118.4,0
99598218-36f,51,40,11,4.5,0.6596,0.9303,1,130.3,0
4182ad6d-93d,37,32,5,29.3,0.8584,0.5175,1,116.1,0
ce28bd69-d00,21,18,3,20.1,0.974,0.4255,1,94.9,0
a8d92528-58b,31,37,6,6.6,0.7205,0.7073,1,76.9,0
671839a8-833,34,24,10,9.9,0.7765,0.4975,1,179.7,0
d91ad74c-a23,59,64,5,2.9,0.9036,0.4806,0,99.7,0
4eaabf0d-b59,46,58,12,17.8,0.6406,0.8435,1,98.9,0
39b7055f-0ea,52,44,8,14.6,0.9031,0.8558,1,138.6,0
e3f71ba8-36c,29,27,2,30.7,0.6802,0.6102,1,115.6,0
e258516d-354,33,29,4,25.1,0.6655,0.8901,0,87.8,0
f527a811-7be,27,32,5,10.7,0.8578,0.8758,1,160.9,0
e6659a2e-3ca,35,39,4,11.2,0.9535,0.8613,1,159.7,0
f3dfdb9a-421,39,36,3,0.1,0.8769,0.4985,1,137.0,0
339730bc-934,33,42,9,3.6,0.9783,0.748,1,114.5,0
75b9b163-e58,30,36,6,16.0,0.8412,0.8177,1,141.3,0
6b621848-0cb,61,62,1,1.8,0.3824,0.9886,1,134.2,0
9f3ca34f-20c,54,64,10,14.0,0.7844,0.1516,0,130.0,0
8e8fc1c4-6aa,42,38,4,2.4,0.829,0.9466,0,191.5,0
a26363d0-f60,63,57,6,5.0,0.6231,0.9138,1,194.0,0
0024ca00-c4c,56,44,12,3.8,0.9204,0.8404,0,122.5,0
c56da617-9ff,37,39,2,27.2,0.8227,0.8619,1,128.3,0
80532fa0-5ac,54,66,12,1.8,0.836,0.7265,1,162.0,0
1c5d3de6-d6c,46,48,2,0.8,0.8134,0.5711,1,106.9,0
9c7e13d2-332,36,43,7,5.4,0.8646,0.769,1,100.9,0
50f6fcb9-c13,29,19,10,43.8,0.5802,0.6082,1,132.7,0
69e62088-a75,39,28,11,34.8,0.8527,0.8019,1,137.5,0
a826df93-1d3,38,48,10,49.5,0.722,0.8215,1,166.4,0
b8c722eb-745,51,46,5,13.5,0.83,0.967,1,73.3,0
3bf747bd-9d5,39,36,3,18.0,0.8365,0.6916,1,129.4,0
7ab4a7b3-3ef,45,47,2,1.2,0.4266,0.825,1,143.5,0
248eea4c-e19,42,39,3,9.9,0.7838,0.8147,1,187.8,0
cd845a78-a0f,24,30,6,15.1,0.5558,0.7943,1,141.6,0
f28108e2-c21,52,47,5,27.8,0.9402,0.5236,1,116.1,0
b262defa-c81,31,29,2,2.8,0.9057,0.8411,1,53.5,0
044876a6-315,56,46,10,30.0,0.5101,0.9587,1,175.5,0
8a449625-ead,23,34,11,39.5,0.801,0.547,1,76.6,0
e76e52f4-d95,62,69,7,1.4,0.7446,0.8667,0,110.9,0
bd4839b6-bd7,64,70,6,0.1,0.9136,0.4752,1,134.2,0
3de737fb-bcb,37,47,10,2.9,0.6929,0.4392,1,214.4,1
d422291e-c32,55,47,8,6.6,0.9018,0.7774,1,111.1,0
51599fc8-71d,26,20,6,31.9,0.9428,0.9693,1,152.6,0
228b1ac8-1a7,21,30,9,3.5,0.9702,0.6434,1,79.2,0
c717a8b5-a37,62,66,4,10.8,0.7792,0.8667,0,91.6,0
35ac1d6e-00a,42,42,0,5.0,0.96,0.8866,0,115.7,0
2e9a9887-8ac,46,41,5,2.7,0.7422,0.8281,0,89.0,0
a4961407-2b8,30,22,8,4.9,0.8102,0.9389,0,79.8,0
7b95dfc8-c69,49,47,2,2.4,0.7843,0.7958,1,107.3,0
df978cec-fb9,31,39,8,4.2,0.6984,0.4036,1,128.5,0
0b2982be-c8b,42,49,7,5.6,0.9333,0.7025,1,35.8,0
f3c839cd-01f,52,53,1,5.8,0.8809,0.7725,1,166.7,0
ad38cf75-a68,44,37,7,0.9,0.8908,0.9168,0,130.8,0
f82347b0-481,42,33,9,4.5,0.8821,0.7859,1,162.4,0
2bed1955-916,44,45,1,6.7,0.4898,0.8571,0,124.0,0
628ec060-0f3,38,38,0,20.6,0.5186,0.7428,0,233.5,0
eea8f840-0cc,52,62,10,8.2,0.5102,0.9047,0,90.4,0
a8e888ae-0f4,31,25,6,38.2,0.6536,0.899,0,45.9,0
014f7cc9-eb9,51,61,10,7.6,0.8315,0.7956,0,103.0,0
4ff85f2b-a04,28,36,8,2.4,0.7768,0.6954,0,128.3,0
40823beb-725,49,48,1,36.0,0.9107,0.7501,1,129.8,0
d479bdde-258,62,67,5,10.1,0.8457,0.7414,1,157.6,0
7a858b0e-74d,24,18,6,7.1,0.876,0.8651,1,84.7,0
0c20b23e-b28,64,61,3,30.6,0.5876,0.8964,1,19.5,0
b3566dbd-3f1,24,23,1,1.9,0.6535,0.9478,1,122.9,0
0afdcb9a-f02,23,29,6,18.0,0.5164,0.8211,1,58.8,0
2dca2df6-aba,47,47,0,5.6,0.8328,0.9097,1,77.0,0
f4ca1ca0-a1c,23,18,5,13.9,0.4654,0.707,0,104.9,0
dc92aae5-abd,34,32,2,24.7,0.6717,0.4269,0,148.1,0
df163802-a23,23,18,5,12.0,0.8772,0.4838,1,131.6,0
4cb09d64-c02,54,47,7,13.4,0.942,0.2859,1,151.6,0
3e95af1c-353,23,29,6,1.4,0.8906,0.4217,1,117.1,0
6bde9958-316,22,28,6,6.5,0.8933,0.3529,0,126.1,0
3789f1a6-e25,42,36,6,10.4,0.7209,0.4324,1,129.2,0
4e06ce21-bcc,50,58,8,15.2,0.2753,0.3903,1,95.4,0
e9fffaa4-c0d,27,22,5,3.5,0.9239,0.7051,0,118.4,0
c1e31224-d1d,30,37,7,11.9,0.914,0.78,1,134.3,0
6f06d68a-d50,36,40,4,2.3,0.7827,0.7145,1,150.1,0
28fdcd64-189,22,18,4,2.7,0.8443,0.9531,0,144.4,0
0159a6cf-727,52,41,11,41.2,0.8756,0.9698,0,140.6,0
73fbeb0a-1c0,63,53,10,16.6,0.7852,0.8679,0,74.9,0
3fd40c79-74b,28,35,7,8.3,0.8321,0.7753,1,64.0,0
e90c6958-293,23,33,10,3.7,0.7812,0.5098,1,171.1,0
64895f7d-d6b,40,52,12,21.5,0.4941,0.6489,1,75.4,1
d08fd990-d15,54,52,2,1.0,0.8313,0.8344,1,87.4,0
b8219484-147,42,47,5,32.4,0.8661,0.27,1,44.4,1
4bd0123e-15c,48,43,5,44.9,0.6644,0.7331,0,162.1,0
27035c91-e27,56,67,11,15.9,0.869,0.9244,0,142.9,0
bdbe8d84-de2,55,64,9,1.1,0.6014,0.8311,1,137.3,0
b485c61e-5f0,55,43,12,2.7,0.7851,0.9769,1,108.1,0
e91ebd14-154,39,43,4,1.7,0.9476,0.6017,1,124.8,0
2c35d43e-43a,24,27,3,24.7,0.8321,0.903,0,192.9,0
63b08d77-bfa,56,61,5,19.1,0.8595,0.9597,1,112.2,0
7e3e31c3-37e,32,24,8,4.6,0.7248,0.7853,1,88.7,0
3c5b906e-8db,53,64,11,15.4,0.8207,0.8706,1,148.9,0
daf00b93-312,54,63,9,28.2,0.9296,0.8883,1,100.9,0
650e53d1-f4f,39,32,7,3.4,0.8531,0.7451,0,235.6,0
b0adee03-b7d,45,42,3,7.2,0.8328,0.9189,0,104.1,0
d471ec44-0c0,38,46,8,38.6,0.912,0.2787,1,84.3,0
706b4804-85b,44,44,0,6.4,0.8003,0.6915,1,105.5,0
b96021cb-bb9,60,66,6,26.5,0.7357,0.676,0,103.9,0
f60a74f4-e2a,38,49,11,2.7,0.9678,0.6783,1,115.6,0
e1673101-28b,38,50,12,52.2,0.9236,0.6353,1,126.9,0
72c7eca1-7c8,51,61,10,6.4,0.9144,0.8187,1,155.7,0
6fb541f1-c07,22,32,10,7.0,0.897,0.6837,0,119.9,0
3f856425-524,38,40,2,52.7,0.7541,0.7673,1,132.5,0
52df0929-524,63,55,8,30.5,0.8617,0.3364,0,166.0,0
562c4995-c19,51,48,3,28.3,0.7586,0.9003,1,139.3,0
2ed18c72-253,63,62,1,39.5,0.6256,0.9155,1,129.1,0
8eee25ad-c32,38,27,11,4.7,0.3953,0.9247,0,196.7,1
323747c5-a85,38,39,1,38.5,0.9552,0.5965,1,121.2,0
ffa89196-f87,44,32,12,2.6,0.9589,0.7341,1,72.1,0
bae534ba-9c5,29,34,5,23.1,0.7667,0.8434,1,111.7,0
e873ce2c-3ec,43,44,1,14.2,0.6972,0.819,1,158.9,0
f2eb99f6-2ea,41,33,8,13.8,0.6439,0.9004,0,81.6,0
36526a97-fa1,58,70,12,4.1,0.9124,0.5602,1,112.5,0
dce7a8cf-68b,24,18,6,1.9,0.7865,0.5612,1,93.4,0
446ce8ee-b82,42,43,1,12.3,0.8587,0.8306,1,153.7,0
aa611b83-fff,21,21,0,26.4,0.8555,0.439,1,34.4,0
24900977-d86,40,43,3,20.1,0.9154,0.7074,0,150.7,0
7cc92399-722,43,45,2,27.3,0.7692,0.7999,1,32.5,0
ec87de74-afa,41,38,3,8.9,0.7582,0.5716,1,148.0,0
e45f6716-22e,45,51,6,16.9,0.8225,0.9227,1,91.5,0
0468476d-59a,39,31,8,0.2,0.9325,0.801,1,130.8,0
33670ac8-31c,33,29,4,0.2,0.7863,0.695,1,195.3,0
